"ID","post_author","post_date","post_date_gmt","post_content","post_title","post_excerpt","post_status","comment_status","ping_status","post_password","post_name","to_ping","pinged","post_modified","post_modified_gmt","post_content_filtered","post_parent","guid","menu_order","post_type","post_mime_type","comment_count"
"3","1","2020-09-29 08:01:37","2020-09-29 11:01:37","<!-- wp:heading --><h2>Quiénes somos</h2><!-- /wp:heading --><!-- wp:paragraph --><p>La dirección de nuestra web es: http://c1960610.ferozo.com.</p><!-- /wp:paragraph --><!-- wp:heading --><h2>Qué datos personales recogemos y por qué</h2><!-- /wp:heading --><!-- wp:heading {""level"":3} --><h3>Comentarios</h3><!-- /wp:heading --><!-- wp:paragraph --><p>Cuando los visitantes dejan comentarios en la web, recopilamos los datos que se muestran en el formulario de comentarios, así como la dirección IP del visitante y la cadena de agentes de usuario del navegador, para ayudar a la detección de spam.</p><!-- /wp:paragraph --><!-- wp:paragraph --><p>Una cadena anónima creada a partir de tu dirección de correo electrónico (también llamada hash) puede ser proporcionada al servicio de Gravatar para ver si la estás usando. La política de privacidad del servicio Gravatar está disponible en https://automattic.com/privacy/. Después de la aprobación de tu comentario, la imagen de tu perfil será visible para el público en el contexto de su comentario.</p><!-- /wp:paragraph --><!-- wp:heading {""level"":3} --><h3>Multimedia</h3><!-- /wp:heading --><!-- wp:paragraph --><p>Si subís imágenes a la web deberías evitar subir imágenes con datos de ubicación (GPS EXIF) incluidos. Los visitantes de la web pueden descargar y extraer cualquier dato de localización de las imágenes de la web.</p><!-- /wp:paragraph --><!-- wp:heading {""level"":3} --><h3>Formularios de contacto</h3><!-- /wp:heading --><!-- wp:heading {""level"":3} --><h3>Cookies</h3><!-- /wp:heading --><!-- wp:paragraph --><p>Si dejás un comentario en nuestro sitio, podés optar por guardar tu nombre, dirección de correo electrónico y sitio web en las cookies. Estos son para tu conveniencia para que no tengas que volver a ingresar tus datos cuando dejés otro comentario. Estas cookies durarán un año.</p><!-- /wp:paragraph --><!-- wp:paragraph --><p>Si tenés una cuenta e iniciás sesión en este sitio, estableceremos una cookie temporal para determinar si tu navegador acepta cookies. Esta cookie no contiene datos personales y es descartada al cerrar el navegador.</p><!-- /wp:paragraph --><!-- wp:paragraph --><p>Cuando iniciás sesión, también configuraremos varias cookies para guardar tu información de inicio de sesión y tus opciones de visualización en pantalla. Las cookies de inicio de sesión duran dos días y las cookies de opciones de pantalla duran un año. Si seleccionás &quot;Recordarme&quot;, tu inicio de sesión se mantendrá durante dos semanas. Si cerrás la sesión, se eliminarán las cookies de inicio de sesión.</p><!-- /wp:paragraph --><!-- wp:paragraph --><p>Si editás o publicás un artículo, se guardará una cookie adicional en tu navegador. Esta cookie no incluye datos personales y simplemente indica el ID de publicación del artículo que acabás de editar. Caduca después de 1 día.</p><!-- /wp:paragraph --><!-- wp:heading {""level"":3} --><h3>Contenido embebido desde otros sitios web</h3><!-- /wp:heading --><!-- wp:paragraph --><p>Los artículos en este sitio pueden incluir contenido incrustado (por ejemplo, videos, imágenes, artículos, etc.). El contenido incrustado de otros sitios web se comporta de la misma manera que si el visitante hubiera visitado el otro sitio web.</p><!-- /wp:paragraph --><!-- wp:paragraph --><p>Estos sitios web pueden recopilar tus datos, utilizar cookies, incrustar un sistema de seguimiento de terceros y supervisar su interacción con ese contenido incrustado, incluyendo el rastreo de tu interacción con el contenido incrustado si tenés una cuenta y estás conectado a ese sitio web.</p><!-- /wp:paragraph --><!-- wp:heading {""level"":3} --><h3>Estadísticas</h3><!-- /wp:heading --><!-- wp:heading --><h2>Con quién compartimos datos</h2><!-- /wp:heading --><!-- wp:heading --><h2>Cuánto tiempo guardamos tus datos</h2><!-- /wp:heading --><!-- wp:paragraph --><p>Si dejás un comentario, el comentario y sus metadatos se conservan indefinidamente. Esto es para que podamos reconocer y aprobar cualquier comentario de seguimiento de forma automática en lugar de mantenerlos en una cola de moderación.</p><!-- /wp:paragraph --><!-- wp:paragraph --><p>Para los usuarios que se registran en nuestro sitio web (si corresponde), también almacenamos la información personal que proporcionan en su perfil de usuario. Todos los usuarios pueden ver, editar o eliminar su información personal en cualquier momento (excepto que no pueden cambiar su nombre de usuario). Los administradores del sitio web también pueden ver y editar esa información.</p><!-- /wp:paragraph --><!-- wp:heading --><h2>Qué derechos tenés sobre tus datos</h2><!-- /wp:heading --><!-- wp:paragraph --><p>Si tenés una cuenta en este sitio o has dejado comentarios, podés solicitar un archivo exportado de los datos personales tuyos que tenemos, incluidos los datos que nos hayas proporcionado. También podés solicitar que borremos cualquier dato personal tuyo que tengamos. Esto no incluye datos que estamos obligados a mantener para fines administrativos, legales o de seguridad.</p><!-- /wp:paragraph --><!-- wp:heading --><h2>Adónde enviamos tus datos</h2><!-- /wp:heading --><!-- wp:paragraph --><p>Los comentarios de los visitantes se pueden verificar a través de un servicio automático de detección de spam.</p><!-- /wp:paragraph --><!-- wp:heading --><h2>Tu información de contacto</h2><!-- /wp:heading --><!-- wp:heading --><h2>Información adicional</h2><!-- /wp:heading --><!-- wp:heading {""level"":3} --><h3>Cómo protegemos tus datos</h3><!-- /wp:heading --><!-- wp:heading {""level"":3} --><h3>¿Qué procedimientos de violación de datos tenemos en marcha?</h3><!-- /wp:heading --><!-- wp:heading {""level"":3} --><h3>De quiénes (terceros) recibimos datos</h3><!-- /wp:heading --><!-- wp:heading {""level"":3} --><h3>Qué toma de decisiones y/o perfiles automatizados se realizan con los datos del usuario</h3><!-- /wp:heading --><!-- wp:heading {""level"":3} --><h3>Requisitos de divulgación regulatoria de la industria</h3><!-- /wp:heading -->","Política de privacidad",,"draft","closed","open",,"politica-privacidad",,,"2020-09-29 08:01:37","2020-09-29 11:01:37",,"0","http://c1960610.ferozo.com/?page_id=3","0","page",,"0"
"8","0","2020-09-29 08:10:29","2020-09-29 11:10:29",,"Kit predeterminado",,"publish","closed","closed",,"kit-predeterminado",,,"2020-11-24 09:22:34","2020-11-24 12:22:34",,"0","http://c1960610.ferozo.com/?elementor_library=kit-predeterminado","0","elementor_library",,"0"
"24","2","2020-10-19 19:57:19","2020-10-19 22:57:19","<p>Después de 10 años compartiendo con nuestros CLIENTES y amigos de Chajarí y de todas partes del mundo nuestra original y pionera página inmobiliaria en la ciudad y la zona, renovamos nuestra imágen en la web y seguimos potenciando ""las propiedades"" para que TODOS puedan satisfacer las máximas expectativas sobre sus bienes actuales o futuros. <br />Gracias por la confianza puesta en la inmobiliaria y en nuestros servicios!!! <br />Un abrazo grande. <br />Daniel Brarda</p>

<!-- wp:paragraph -->
<p></p>
<!-- /wp:paragraph -->","Nueva imágen en la web",,"publish","closed","closed",,"nueva-imagen-web",,,"2025-08-06 08:30:58","2025-08-06 11:30:58",,"0","http://inspirythemesdemo.com/realplaces/?p=24","0","post",,"0"
"57","2","2017-05-23 04:24:37","2017-05-23 07:24:37","<!-- wp:paragraph -->
<p>Corredor Público Inmobiliario M.P. 613 C.C.P.I.E.R.</p>
<!-- /wp:paragraph -->","Daniel Brarda",,"publish","closed","closed",,"daniel-brarda",,,"2024-03-04 16:44:06","2024-03-04 19:44:06",,"0","http://inspirythemesdemo.com/realplaces/?post_type=agent&#038;p=57","0","agent",,"0"
"60","1","2019-06-23 04:26:58","2019-06-23 04:26:58",,"Nuestros Agentes",,"publish","open","closed",,"nuestros-agentes",,,"2019-06-23 04:26:58","2019-06-23 04:26:58",,"0","http://inspirythemesdemo.com/realplaces/?page_id=60","0","page",,"0"
"69","1","2019-06-23 04:51:37","2019-06-23 04:51:37",,"Emprendimientos",,"publish","open","closed",,"emprendimientos",,,"2020-10-13 07:34:21","2020-10-13 10:34:21",,"0","http://inspirythemesdemo.com/realplaces/?page_id=69","0","page",,"0"
"71","1","2019-06-23 04:55:10","2019-06-23 07:55:10",,"Casas en Venta en Chajarí",,"publish","closed","closed",,"casas",,,"2020-10-12 19:35:31","2020-10-12 22:35:31",,"5060","http://inspirythemesdemo.com/realplaces/?page_id=71","0","page",,"0"
"107","1","2019-06-23 12:03:58","2019-06-23 12:03:58",,"Noticias",,"publish","open","closed",,"noticias",,,"2020-11-01 11:17:10","2020-11-01 14:17:10",,"0","http://inspirythemesdemo.com/realplaces/?page_id=107","0","page",,"0"
"109","1","2019-06-23 12:25:59","2019-06-23 15:25:59",,"Enviar Propiedad",,"draft","open","closed",,"enviar-propiedad",,,"2020-10-27 09:05:39","2020-10-27 12:05:39",,"0","http://inspirythemesdemo.com/realplaces/?page_id=109","0","page",,"0"
"135","1","2019-06-23 23:05:48","2019-06-23 23:05:48",,"Búsqueda Propiedades",,"publish","open","closed",,"busqueda-propiedades",,,"2019-06-23 23:05:48","2019-06-23 23:05:48",,"0","http://inspirythemesdemo.com/realplaces/?page_id=135","0","page",,"0"
